Temperature,Pressure,Data
26.6667,189.629,535.766
26.6667,196.919,533.05
26.6667,204.208,530.302
26.6667,211.498,527.52
26.6667,218.788,524.705
26.6667,226.077,521.855
26.6667,233.367,518.971
26.6667,240.656,516.051
26.6667,247.946,513.096
26.6667,255.235,510.104
26.6667,262.525,507.075
26.6667,269.815,504.009
26.6667,277.104,500.905
26.6667,284.394,497.762
26.6667,291.683,494.58
26.6667,298.973,491.359
26.6667,306.263,488.097
26.6667,313.552,484.795
26.6667,320.842,481.451
26.6667,328.131,478.065
26.6667,335.421,474.637
26.6667,342.71,534.579
26.6667,350.0,531.834
28.9583,0.1,648.498
28.9583,1.01325,643.87
28.9583,7.38958,639.162
28.9583,14.6792,634.372
28.9583,21.9688,629.499
28.9583,29.2583,624.54
28.9583,36.5479,619.494
28.9583,43.8375,614.358
28.9583,51.1271,609.13
28.9583,58.4167,868.022
28.9583,65.7063,868.827
28.9583,72.9958,869.637
28.9583,80.2854,869.761
28.9583,87.575,870.434
28.9583,94.8646,581.521
28.9583,102.154,575.689
28.9583,109.444,569.747
28.9583,116.733,563.693
28.9583,124.023,557.524
28.9583,131.313,551.238
28.9583,138.602,637.133
28.9583,145.892,630.309
28.9583,153.181,623.355
28.9583,160.471,616.269
28.9583,167.76,609.047
28.9583,175.05,601.686
28.9583,182.34,540.223
28.9583,189.629,537.592
28.9583,196.919,534.931
28.9583,204.208,532.239
28.9583,211.498,529.515
28.9583,218.788,526.76
28.9583,226.077,523.972
28.9583,233.367,521.152
28.9583,240.656,518.299
28.9583,247.946,515.413
28.9583,255.235,512.492
28.9583,262.525,509.537
28.9583,269.815,506.548
28.9583,277.104,503.523
28.9583,284.394,500.462
28.9583,291.683,497.365
28.9583,298.973,494.231
28.9583,306.263,491.061
28.9583,313.552,487.853
28.9583,320.842,484.607
28.9583,328.131,481.322
28.9583,335.421,478.0
28.9583,342.71,536.951
28.9583,350.0,534.27
31.25,0.1,650.748
31.25,1.01325,646.21
31.25,7.38958,641.598
31.25,14.6792,636.908
31.25,21.9688,632.14
31.25,29.2583,627.292
31.25,36.5479,622.362
31.25,43.8375,617.347
31.25,51.1271,612.247
31.25,58.4167,607.058
31.25,65.7063,601.78
31.25,72.9958,596.41
31.25,80.2854,595.578
31.25,87.575,590.947
31.25,94.8646,585.387
31.25,102.154,579.73
31.25,109.444,573.972
31.25,116.733,568.113
31.25,124.023,562.15
31.25,131.313,556.082
31.25,138.602,641.922
31.25,145.892,635.318
31.25,153.181,628.597
31.25,160.471,621.756
31.25,167.76,614.793
31.25,175.05,607.707
31.25,182.34,600.496
31.25,189.629,539.364
31.25,196.919,536.754
31.25,204.208,534.115
31.25,211.498,531.447
31.25,218.788,528.748
31.25,226.077,526.019
31.25,233.367,523.26
31.25,240.656,520.469
31.25,247.946,517.648
31.25,255.235,514.794
31.25,262.525,511.908
31.25,269.815,508.99
31.25,277.104,506.038
31.25,284.394,503.054
31.25,291.683,500.036
31.25,298.973,496.984
31.25,306.263,493.898
31.25,313.552,490.777
31.25,320.842,487.621
31.25,328.131,484.43
31.25,335.421,481.203
31.25,342.71,539.239
31.25,350.0,536.619
33.5417,0.1,652.933
33.5417,1.01325,648.482
33.5417,7.38958,643.959
33.5417,14.6792,639.364
33.5417,21.9688,634.695
33.5417,29.2583,629.951
33.5417,36.5479,625.129
33.5417,43.8375,620.229
33.5417,51.1271,615.248
33.5417,58.4167,610.186
33.5417,65.7063,605.039
33.5417,72.9958,599.808
33.5417,80.2854,598.998
33.5417,87.575,594.49
33.5417,94.8646,589.083
33.5417,102.154,583.587
33.5417,109.444,577.999
33.5417,116.733,572.317
33.5417,124.023,566.542
33.5417,131.313,560.67
33.5417,138.602,646.485
33.5417,145.892,640.083
33.5417,153.181,633.573
33.5417,160.471,626.955
33.5417,167.76,620.226
33.5417,175.05,613.387
33.5417,182.34,606.435
33.5417,189.629,599.37
33.5417,196.919,538.523
33.5417,204.208,535.935
33.5417,211.498,533.318
33.5417,218.788,530.674
33.5417,226.077,528.0
33.5417,233.367,525.298
33.5417,240.656,522.567
33.5417,247.946,519.806
33.5417,255.235,517.015
33.5417,262.525,514.194
33.5417,269.815,511.342
33.5417,277.104,508.46
33.5417,284.394,505.547
33.5417,291.683,502.602
33.5417,298.973,499.626
33.5417,306.263,496.618
33.5417,313.552,493.578
33.5417,320.842,490.506
33.5417,328.131,487.401
33.5417,335.421,484.264
33.5417,342.71,541.449
33.5417,350.0,538.886
35.8333,0.1,655.057
35.8333,1.01325,650.687
35.8333,7.38958,646.251
35.8333,14.6792,641.745
35.8333,21.9688,637.17
35.8333,29.2583,632.524
35.8333,36.5479,627.804
35.8333,43.8375,623.011
35.8333,51.1271,618.143
35.8333,58.4167,613.198
